iter	Passed	Remaining
0	8	6099
1	17	6120
2	26	6108
3	34	6038
4	42	5956
5	51	5905
6	59	5846
7	67	5826
8	75	5809
9	83	5784
10	92	5766
11	100	5749
12	108	5732
13	116	5720
14	124	5704
15	133	5687
16	141	5673
17	149	5657
18	157	5646
19	165	5632
20	173	5621
21	182	5618
22	190	5608
23	198	5593
24	206	5582
25	214	5573
26	223	5565
27	231	5557
28	239	5547
29	247	5534
30	255	5524
31	264	5514
32	272	5504
33	280	5495
34	288	5487
35	297	5478
36	305	5470
37	313	5460
38	321	5452
39	329	5443
40	338	5435
41	346	5428
42	354	5420
43	362	5410
44	371	5401
45	379	5394
46	387	5386
47	395	5378
48	404	5370
49	412	5363
50	420	5353
51	432	5385
52	441	5387
53	449	5379
54	458	5376
55	466	5367
56	475	5358
57	483	5350
58	491	5341
59	500	5333
60	509	5333
61	517	5325
62	525	5317
63	534	5308
64	542	5298
65	550	5289
66	558	5280
67	567	5271
68	575	5262
69	583	5252
70	591	5243
71	600	5234
72	608	5225
73	616	5216
74	624	5207
75	633	5200
76	641	5191
77	650	5186
78	658	5177
79	667	5169
80	676	5172
81	685	5164
82	693	5157
83	702	5149
84	710	5141
85	718	5132
86	727	5125
87	735	5117
88	745	5115
89	754	5113
90	762	5105
91	771	5097
92	779	5088
93	788	5081
94	796	5073
95	804	5064
96	813	5055
97	821	5047
98	840	5102
99	852	5116
100	866	5136
101	878	5152
102	890	5159
103	902	5172
104	911	5162
105	919	5152
106	927	5142
107	936	5132
108	947	5135
109	956	5130
110	965	5120
111	974	5114
112	982	5104
113	990	5093
114	999	5082
115	1007	5072
116	1015	5061
117	1024	5050
118	1032	5040
119	1040	5029
120	1048	5018
121	1057	5007
122	1065	4997
123	1073	4986
124	1081	4976
125	1089	4965
126	1098	4954
127	1106	4944
128	1114	4933
129	1122	4923
130	1131	4913
131	1139	4902
132	1147	4893
133	1156	4883
134	1164	4872
135	1172	4862
136	1180	4852
137	1189	4842
138	1197	4832
139	1205	4822
140	1213	4812
141	1222	4802
142	1230	4791
143	1238	4781
144	1246	4772
145	1255	4762
146	1263	4752
147	1271	4743
148	1279	4733
149	1288	4723
150	1296	4713
151	1304	4703
152	1312	4693
153	1321	4684
154	1329	4673
155	1337	4663
156	1347	4658
157	1356	4652
158	1364	4642
159	1372	4633
160	1382	4629
161	1391	4619
162	1399	4610
163	1407	4600
164	1415	4590
165	1424	4581
166	1432	4571
167	1440	4562
168	1448	4552
169	1457	4542
170	1466	4536
171	1476	4531
172	1486	4528
173	1495	4520
174	1503	4511
175	1512	4502
176	1520	4493
177	1529	4484
178	1537	4475
179	1554	4491
180	1564	4485
181	1572	4475
182	1581	4467
183	1589	4457
184	1598	4448
185	1606	4438
186	1614	4429
187	1623	4420
188	1631	4410
189	1639	4401
190	1647	4391
191	1656	4382
192	1664	4373
193	1673	4365
194	1682	4358
195	1691	4348
196	1699	4339
197	1707	4329
198	1717	4324
199	1729	4323
200	1737	4314
201	1746	4305
202	1754	4296
203	1763	4287
204	1771	4278
205	1780	4268
206	1788	4259
207	1796	4250
208	1805	4240
209	1813	4231
210	1821	4221
211	1829	4212
212	1838	4203
213	1846	4193
214	1854	4184
215	1863	4174
216	1871	4165
217	1879	4156
218	1888	4146
219	1896	4137
220	1904	4128
221	1912	4118
222	1921	4109
223	1929	4099
224	1937	4090
225	1945	4080
226	1953	4071
227	1962	4061
228	1970	4052
229	1978	4042
230	1986	4033
231	1994	4024
232	2003	4014
233	2011	4005
234	2019	3996
235	2028	3987
236	2036	3978
237	2045	3969
238	2053	3960
239	2061	3951
240	2071	3944
241	2082	3941
242	2091	3933
243	2100	3924
244	2108	3916
245	2117	3907
246	2125	3898
247	2133	3888
248	2142	3879
249	2150	3870
250	2158	3861
251	2166	3852
252	2175	3843
253	2183	3833
254	2191	3824
255	2199	3815
256	2208	3806
257	2216	3797
258	2225	3788
259	2233	3779
260	2241	3770
261	2249	3760
262	2257	3751
263	2266	3742
264	2274	3733
265	2282	3724
266	2291	3715
267	2299	3706
268	2308	3698
269	2316	3689
270	2324	3680
271	2333	3671
272	2341	3662
273	2349	3653
274	2357	3644
275	2366	3635
276	2374	3626
277	2382	3617
278	2391	3608
279	2399	3599
280	2407	3590
281	2416	3581
282	2424	3572
283	2432	3563
284	2441	3554
285	2449	3545
286	2457	3536
287	2466	3527
288	2474	3518
289	2482	3510
290	2491	3501
291	2499	3492
292	2508	3483
293	2516	3474
294	2524	3466
295	2533	3457
296	2541	3448
297	2550	3440
298	2558	3431
299	2566	3422
300	2574	3413
301	2583	3404
302	2591	3395
303	2599	3386
304	2610	3381
305	2620	3373
306	2628	3365
307	2637	3356
308	2645	3348
309	2654	3339
310	2663	3331
311	2671	3322
312	2679	3313
313	2688	3304
314	2696	3295
315	2704	3286
316	2712	3277
317	2721	3268
318	2729	3260
319	2737	3251
320	2746	3242
321	2754	3234
322	2763	3225
323	2771	3216
324	2780	3207
325	2788	3199
326	2797	3190
327	2805	3181
328	2813	3172
329	2821	3163
330	2830	3155
331	2838	3146
332	2847	3137
333	2855	3129
334	2863	3120
335	2872	3111
336	2880	3102
337	2888	3093
338	2897	3085
339	2905	3076
340	2913	3067
341	2921	3058
342	2930	3049
343	2938	3041
344	2947	3032
345	2955	3023
346	2963	3014
347	2971	3005
348	2979	2996
349	2987	2987
350	2996	2979
351	3004	2970
352	3012	2961
353	3020	2952
354	3029	2943
355	3037	2934
356	3045	2926
357	3054	2917
358	3062	2908
359	3070	2900
360	3078	2891
361	3087	2882
362	3095	2873
363	3103	2864
364	3111	2855
365	3120	2847
366	3128	2839
367	3139	2832
368	3148	2824
369	3157	2816
370	3166	2808
371	3174	2799
372	3183	2790
373	3191	2782
374	3200	2773
375	3208	2764
376	3217	2756
377	3225	2747
378	3233	2738
379	3242	2730
380	3250	2721
381	3258	2712
382	3266	2703
383	3275	2695
384	3283	2686
385	3292	2678
386	3300	2669
387	3308	2660
388	3317	2652
389	3325	2643
390	3333	2634
391	3341	2625
392	3350	2616
393	3358	2608
394	3366	2599
395	3374	2590
396	3382	2581
397	3390	2573
398	3399	2564
399	3407	2555
400	3415	2546
401	3423	2538
402	3432	2529
403	3440	2520
404	3448	2511
405	3456	2503
406	3465	2494
407	3473	2485
408	3483	2478
409	3491	2469
410	3499	2460
411	3508	2452
412	3516	2443
413	3524	2434
414	3533	2426
415	3541	2417
416	3549	2409
417	3558	2400
418	3566	2391
419	3574	2383
420	3582	2374
421	3591	2365
422	3599	2357
423	3607	2348
424	3615	2339
425	3624	2331
426	3632	2322
427	3640	2313
428	3651	2306
429	3662	2299
430	3670	2290
431	3680	2283
432	3688	2274
433	3697	2266
434	3706	2258
435	3718	2251
436	3727	2243
437	3735	2234
438	3743	2225
439	3752	2217
440	3760	2208
441	3769	2200
442	3777	2191
443	3787	2183
444	3796	2175
445	3804	2166
446	3813	2158
447	3821	2149
448	3829	2140
449	3838	2132
450	3846	2123
451	3855	2115
452	3863	2106
453	3871	2097
454	3880	2089
455	3888	2080
456	3896	2071
457	3904	2063
458	3912	2054
459	3921	2045
460	3929	2037
461	3937	2028
462	3945	2019
463	3954	2011
464	3962	2002
465	3970	1993
466	3978	1985
467	3987	1976
468	3995	1967
469	4003	1959
470	4011	1950
471	4019	1941
472	4028	1933
473	4036	1924
474	4044	1915
475	4052	1907
476	4060	1898
477	4069	1889
478	4077	1881
479	4085	1872
480	4095	1864
481	4103	1855
482	4111	1847
483	4119	1838
484	4127	1829
485	4136	1821
486	4144	1812
487	4152	1803
488	4160	1795
489	4168	1786
490	4177	1778
491	4189	1771
492	4197	1762
493	4206	1754
494	4215	1745
495	4224	1737
496	4232	1728
497	4241	1720
498	4249	1711
499	4258	1703
500	4266	1694
501	4274	1686
502	4282	1677
503	4291	1668
504	4299	1660
505	4308	1651
506	4316	1643
507	4324	1634
508	4332	1625
509	4341	1617
510	4349	1608
511	4358	1600
512	4367	1592
513	4376	1583
514	4384	1574
515	4392	1566
516	4400	1557
517	4409	1549
518	4417	1540
519	4425	1532
520	4434	1523
521	4442	1514
522	4450	1506
523	4459	1497
524	4468	1489
525	4476	1480
526	4484	1472
527	4493	1463
528	4501	1455
529	4509	1446
530	4518	1438
531	4526	1429
532	4534	1420
533	4543	1412
534	4551	1403
535	4559	1395
536	4567	1386
537	4576	1377
538	4584	1369
539	4592	1360
540	4601	1352
541	4609	1343
542	4617	1335
543	4626	1326
544	4634	1318
545	4643	1309
546	4651	1301
547	4660	1292
548	4668	1284
549	4676	1275
550	4685	1266
551	4694	1258
552	4705	1250
553	4714	1242
554	4723	1234
555	4731	1225
556	4740	1217
557	4748	1208
558	4757	1199
559	4765	1191
560	4774	1182
561	4782	1174
562	4790	1165
563	4799	1157
564	4807	1148
565	4816	1140
566	4824	1131
567	4833	1123
568	4841	1114
569	4850	1106
570	4858	1097
571	4866	1089
572	4875	1080
573	4883	1072
574	4892	1063
575	4900	1054
576	4908	1046
577	4917	1037
578	4925	1029
579	4933	1020
580	4942	1012
581	4950	1003
582	4958	995
583	4967	986
584	4975	978
585	4983	969
586	4991	960
587	4999	952
588	5008	943
589	5016	935
590	5025	926
591	5033	918
592	5042	909
593	5050	901
594	5058	892
595	5067	884
596	5075	875
597	5083	867
598	5092	858
599	5100	850
600	5108	841
601	5117	833
602	5125	824
603	5133	815
604	5142	807
605	5150	798
606	5158	790
607	5167	781
608	5175	773
609	5183	764
610	5192	756
611	5200	747
612	5208	739
613	5217	730
614	5228	722
615	5237	714
616	5246	705
617	5254	697
618	5263	688
619	5271	680
620	5279	671
621	5288	663
622	5296	654
623	5304	646
624	5313	637
625	5321	629
626	5329	620
627	5338	612
628	5347	603
629	5355	595
630	5363	586
631	5372	578
632	5380	569
633	5388	560
634	5397	552
635	5405	543
636	5413	535
637	5422	526
638	5430	518
639	5439	509
640	5448	501
641	5456	492
642	5464	484
643	5473	475
644	5481	467
645	5489	458
646	5497	450
647	5506	441
648	5514	433
649	5522	424
650	5530	416
651	5538	407
652	5547	399
653	5555	390
654	5563	382
655	5572	373
656	5580	365
657	5588	356
658	5596	348
659	5605	339
660	5613	331
661	5621	322
662	5630	314
663	5638	305
664	5647	297
665	5655	288
666	5664	280
667	5672	271
668	5680	263
669	5690	254
670	5700	246
671	5708	237
672	5717	229
673	5725	220
674	5734	212
675	5742	203
676	5752	195
677	5763	187
678	5772	178
679	5780	170
680	5789	161
681	5798	153
682	5806	144
683	5814	136
684	5823	127
685	5831	119
686	5840	110
687	5848	102
688	5856	93
689	5865	85
690	5874	76
691	5882	68
692	5890	59
693	5899	51
694	5907	42
695	5916	34
696	5924	25
697	5932	16
698	5941	8
699	5949	0
