,FTR,HomeTeam,AwayTeam,HomeTeamWinStreak3,HomeTeamWinStreak5,HomeTeamLossStreak3,HomeTeamLossStreak5,AwayTeamWinStreak3,AwayTeamWinStreak5,AwayTeamLossStreak3,AwayTeamLossStreak5,IsHomeTeamRegulars,IsAwayTeamRegulars,IsHomeTeamRookie,IsAwayTeamRookie,HomeTeamWinRatio_Cat,AwayTeamWinRatio_Cat,HomeTeamPointsFromLast3Matches,AwayTeamPointsFromLast3Matches,HomeTeamPointsFromLast5Matches,AwayTeamPointsFromLast5Matches,HomeTeamPointsFromLast10Matches,AwayTeamPointsFromLast10Matches,HomeTeamLast1Match,AwayTeamLast1Match,HomeTeamLast2Match,AwayTeamLast2Match,HomeTeamLast3Match,AwayTeamLast3Match,HomeTeamLast4Match,AwayTeamLast4Match,HomeTeamLast5Match,AwayTeamLast5Match,HomeTeamLastYearPosition,AwayTeamLastYearPosition,HomeTeamGoalsDifference_Cat,AwayTeamGoalsDifference_Cat,TotalGoalsDifference_Cat,DifferenceTotalPoints_Cat,Difference10MatchesPoints_Cat,DifferenceInShoots_Cat,DifferenceInTargetShoots_Cat,DifferenceInCorners_Cat,HomeTeamTargetShootsMade_Cat,AwayTeamTargetShootsMade_Cat,HomeTeamGoalsScored_Cat,AwayTeamGoalsScored_Cat,HomeTeamGoalsLost_Cat,AwayTeamGoalsLost_Cat,HomeTeamShootsMade_Cat,AwayTeamShootsMade_Cat,HomeTeamCorners_Cat,AwayTeamCorners_Cat,HomeTeamTotalPoints_Cat,AwayTeamTotalPoints_Cat
0,1,Aston Villa,Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,8,5,8,5,3,1,3,0,0,1,1,3,1,0,6.0,17.0,3,3,5,5,5,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Charlton,Tottenham,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,6,5,10,5,10,1,3,1,3,0,0,0,1,3,3,18.0,10.0,3,3,4,5,3,4,5,3,0,0,0,0,1,0,0,0,0,0,0,1
2,0,Everton,Man United,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,7,7,11,7,11,3,3,0,3,1,1,3,1,0,3,13.0,1.0,3,4,4,5,4,4,4,3,0,0,0,1,0,0,0,0,0,0,0,1
3,0,Leeds,Ipswich,0,0,0,0,0,0,0,0,0,0,0,1,2,5,1,3,7,4,7,4,0,0,1,0,0,3,3,1,3,0,3.0,18.0,3,3,4,5,5,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0
4,1,Southampton,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,3,10,3,10,0,1,1,3,1,3,0,3,1,0,15.0,11.0,3,3,4,4,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1
5,1,Sunderland,Derby,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,4,4,4,4,0,1,1,1,0,1,0,0,3,1,7.0,16.0,3,3,4,5,4,4,4,2,0,0,0,0,0,1,0,0,0,0,0,0
6,0,Chelsea,Leicester,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,7,6,11,6,11,1,3,1,3,1,1,0,3,3,1,5.0,8.0,3,3,4,5,3,5,5,3,0,0,0,0,0,0,0,0,0,0,0,1
7,0,Man City,Middlesbrough,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,6,5,6,5,0,0,3,1,0,0,3,1,0,3,18.0,12.0,3,3,4,5,5,4,4,3,0,0,0,0,1,0,0,0,0,0,0,0
8,0,West Ham,Liverpool,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,7,2,10,2,10,0,3,1,3,1,1,0,0,0,3,9.0,4.0,3,3,4,4,3,5,5,3,0,0,0,0,0,0,0,0,0,0,0,1
9,0,Bradford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,3,5,3,1,0,0,1,1,1,3,0,0,1,17.0,15.0,3,3,4,5,5,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
10,0,Coventry,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,7,3,7,3,0,1,1,0,0,1,3,1,3,0,14.0,9.0,3,3,4,5,5,4,4,2,0,0,0,0,0,0,0,0,0,1,0,0
11,0,Derby,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,4,8,0,1,1,0,1,1,1,0,0,3,16.0,3.0,3,3,4,5,4,4,4,3,0,0,0,0,1,0,0,0,0,0,0,0
