,Model,precision_score,recall_score,f1_score,roc_auc_score,accuracy_score
0,LogisticRegression,0.6086956521739131,0.6666666666666666,0.6363636363636365,0.7136118598382749,0.6631578947368421
1,Voting_LogisticRegression,0.6,0.6428571428571429,0.6206896551724138,0.7058625336927223,0.6526315789473685
2,LinearSVC,0.7074829931972789,0.65,0.6775244299674267,0.7494485294117649,0.7
3,Voting_LinearSVC,0.697986577181208,0.65,0.6731391585760518,0.7497794117647059,0.693939393939394
4,SVC_RBF,0.5925925925925926,0.7619047619047619,0.6666666666666666,0.7321428571428572,0.6631578947368421
5,Voting_SVC_RBF,0.5981308411214953,0.7619047619047619,0.6701570680628272,0.7238319856244385,0.6684210526315789
6,KNeighborsClassifier,0.5681818181818182,0.5952380952380952,0.5813953488372093,0.6766621743036838,0.6210526315789474
7,Voting_KNeighborsClassifier,0.5681818181818182,0.5952380952380952,0.5813953488372093,0.6768306379155437,0.6210526315789474
8,LinearModelsVotingClassifier,0.6,0.6428571428571429,0.6206896551724138,0.7126010781671159,0.6526315789473685
9,LinearModelsAveragingVotingClassifier,0.5978260869565217,0.6547619047619048,0.6249999999999999,0.7118149146451033,0.6526315789473685
